ZCTA5,lon,lat
93923,-121.88273,36.534308
93924,-121.72213,36.477102
93925,-121.49799,36.573464
93926,-121.44062,36.512753
93927,-121.24925,36.319788
93928,-121.22963,36.003596
93930,-121.13412,36.204705
93932,-121.08587,35.962045
93933,-121.78994,36.679267
93940,-121.88306,36.595063
93943,-121.87304,36.597445
93950,-121.92344,36.616189
93953,-121.94262,36.590088
93954,-121.00909,36.1313
93955,-121.83252,36.615324
93960,-121.34556,36.446636
93962,-121.64666,36.624567
94002,-122.29373,37.517099
94005,-122.40459,37.684067
94010,-122.36389,37.576228
94014,-122.45282,37.699134
94015,-122.47906,37.679141
94019,-122.44388,37.47373
94020,-122.25125,37.307814
94021,-122.29311,37.275057
94022,-122.12414,37.38179
94024,-122.08708,37.354554
94025,-122.18063,37.454232
94027,-122.20137,37.456498
94028,-122.20952,37.379143
94030,-122.40255,37.599902
94037,-122.50757,37.541155
94038,-122.50743,37.521579
94040,-122.08989,37.387051
94041,-122.07928,37.389538
94043,-122.07832,37.403802
94044,-122.48333,37.621254
94060,-122.35929,37.238432
94061,-122.23131,37.465892
94062,-122.25651,37.461679
94063,-122.21111,37.482008
94065,-122.244,37.53704
94066,-122.42808,37.624788
94070,-122.26821,37.496833
94074,-122.35025,37.32338
94080,-122.43519,37.654723
94085,-122.0186,37.389679
94086,-122.02692,37.37119
94087,-122.03533,37.351073
94089,-122.00436,37.399473
94102,-122.41741,37.780926
94103,-122.41405,37.773747
94104,-122.40332,37.791007
94105,-122.39394,37.787796
94107,-122.39622,37.770025
94108,-122.40905,37.792855
94109,-122.41997,37.791055
94110,-122.41623,37.751146
94111,-122.40109,37.798132
94112,-122.44212,37.719681
94114,-122.43471,37.75822
94115,-122.43667,37.785202
94116,-122.48756,37.744085
94117,-122.44295,37.771141
94118,-122.4622,37.781186
94121,-122.4907,37.778526
94122,-122.48476,37.759256
94123,-122.43638,37.800252
94124,-122.3911,37.730083
94127,-122.45812,37.735643
94128,-122.38802,37.638543
94129,-122.46769,37.794709
94130,-122.37327,37.825346
94131,-122.43888,37.743775
